HM_WT,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S,ratio_MG_CAC2,ratio_MG_CAC2_INJ_TIME,gm_CAC2_MG,gm_MG_CAC2_INJ_TIME,rate_of_injection_CAC2,rate_of_injection_MG,Target_S_0.003,Target_S_0.005,Target_S_0.008,Target_S_0.01,Target_S_0.012
0.7241276807395984,0.5345628308826204,0.5412700929854767,0.3925106738603494,0.5571839278571741,0.3483890976233266,0.6348484201855478,0.5873655192851841,0.4953503754051002,0.5404627506330291,0.0,0.5873243307212798,0.46814076790695813,0.0,0.2818952570673893,0.3367084035925951,0.28240179491120687,0.765649671814565,0.0,1.0,0.0,0.0,0.0
0.6927984919188324,0.5755674331338658,0.6406754658905882,0.3183258399400727,0.1727083702441966,0.15463413697678796,0.6829005585448167,0.6927460654394131,0.370352327283311,0.3953310403566862,0.0,0.7755102120960518,0.7289482657488349,0.17167875238827685,0.37148159977813516,0.24014384084526127,0.5938220057581948,0.8573094528658487,0.0,1.0,0.0,0.0,0.0
0.33857382210754844,0.3994987141437341,0.32328642864388,0.6482905669522647,0.6674186765668003,0.3483890976233266,0.16955871241830883,0.20865642066344187,0.5857784732953577,0.3953310403566862,0.0,0.6418147906087139,0.4364027495966408,0.17167875238827685,0.04224467601112475,0.24014384084526127,0.2880075146580361,0.6010941624788159,0.0,1.0,0.0,0.0,0.0
0.5340161892036126,0.42333699886836307,0.27414142070852376,0.33678671218327927,0.36522369347823863,0.2043708465971013,0.3939191646225927,0.5873655192851841,0.6241083520615713,0.3953310403566862,0.0,0.6418147906087139,0.9833883102199061,0.17167875238827685,0.2020337760439539,0.24014384084526127,0.36612060050422307,0.765649671814565,0.0,1.0,0.0,0.0,0.0
0.5979623488177296,0.5345628308826204,0.47703224120077725,0.5356012804937422,0.5571839278571741,0.2043708465971013,0.6477592873597864,0.6618206193997163,0.547194820255867,0.5404627506330291,0.5499546350043463,0.5873243307212798,0.7118978895433273,0.38331136658721376,0.33201294747427534,0.5332325011518462,0.2967792325152544,0.4868272258501454,0.0,1.0,0.0,0.0,0.0
0.9396173322531356,0.49161475445770464,0.27414142070852376,0.5121269399282763,0.36522369347823863,0.15463413697678796,0.6348484201855478,0.6927460654394131,0.7625239002635191,0.5404627506330291,0.5499546350043463,0.6910043947325144,0.893900797692154,0.38331136658721376,0.3468594277969154,0.5332325011518462,0.28240179491120687,0.5161175726353601,0.0,1.0,0.0,0.0,0.0
0.5660624904128831,0.3994987141437341,0.47703224120077725,0.1686165508174009,0.25480235825623704,0.25323146005912606,0.2293411076034017,0.3317989273786052,0.6177375453568977,0.3953310403566862,0.5499546350043463,0.5873243307212798,0.5501190594758698,0.591807170860388,0.0759132507361833,0.4417893146502364,0.303922447608176,0.2996746829617455,0.0,1.0,0.0,0.0,0.0
0.46947798988374423,0.6701652888094356,0.42471165796181615,0.6764251334695096,0.542994335900301,0.30123223133494603,0.779705541980304,0.7457859927820691,0.7997050721784909,0.6620542238285942,0.5499546350043463,0.5269556520041888,0.5689235643821959,0.2103982120557938,0.4753685778751079,0.6138873345439838,0.2512728146309836,0.5732348516796145,0.0,1.0,0.0,0.0,0.0
0.5660624904128831,0.3994987141437341,0.42471165796181615,0.1364633644878142,0.2708940814398906,0.3947176858192334,0.3939191646225927,0.41906949970075147,0.5536431698395502,0.3953310403566862,1.0,0.6418147906087139,0.5281428002145182,1.0,0.13024562680962706,0.5985115137801881,0.36612060050422307,0.06431873478952621,0.0,1.0,0.0,0.0,0.0
0.5979623488177296,0.49161475445770464,0.42471165796181615,0.1704726681612353,0.2868787112136615,0.3483890976233266,0.5303448367824298,0.6270381173027404,0.4561636904713991,0.3953310403566862,0.5499546350043463,0.5269556520041888,0.8863523176019672,0.591807170860388,0.2620156021544208,0.4417893146502364,0.44802208152330536,0.4570260483430942,0.0,1.0,0.0,0.0,0.0
0.7863704338833987,0.5755674331338658,0.42471165796181615,0.7353814684923619,0.7204175417978703,0.3483890976233266,0.6773822031416671,0.6270381173027404,0.5083546111597006,0.5404627506330291,1.0,0.4600678373827711,0.4697658721976822,0.7564506723518076,0.3259387435611717,0.6858181816919247,0.3321968547530866,0.1860691918300164,0.0,1.0,0.0,0.0,0.0
